komentar,like,waktu,komentar_clean,sentimen
tapi kejahatan salah satunya diawali iri dengki kak😭,521,2026-03-13 21:30:15 UTC,kejahatan salah satunya diawali iri dengki kak,negatif
"ya mangkanya boleh iri dengki tp jgn jahat, paham ndak?",188,2026-03-13 21:32:31 UTC,ya mangkanya iri dengki tp jgn jahat paham ndak,negatif
"y Ndak boleh kak, nanti ujung2nya jd jahat itu namanya bibit",167,2026-03-13 21:33:37 UTC,y ndak kak ujungnya jd jahat namanya bibit,negatif
"benci, iri dan dengki juga nggak boleh kak,, jangan ya.. jangan...",83,2026-03-14 15:26:46 UTC,benci iri dengki nggak kak ya,negatif
"itu sifat manusiawi kak tp yg penting kita bisa kontroL sebenci² kita SM seseorang harusnya jangan smpe jahat ke org trsbut ,,",11,2026-03-15 15:35:42 UTC,sifat manusiawi kak tp yg kontrol sebenci sm smpe jahat org trsbut,negatif
"Benci,iri,dengkih,dll itu jg bagian dr hal yg Jahat syng...😄😄 b'asal dr iri,dengkih n benci lah yg memicuh tindakan jht lainx...🤭🤗",2,2026-03-16 05:56:27 UTC,benciiridengkihdll jg dr yg jahat syng basal dr iridengkih n benci yg memicuh tindakan jht lainx,negatif
"Dia pengkritik pemerintah, coba tebak siapa pelakunya!",75,2026-03-13 21:43:06 UTC,pengkritik pemerintah coba tebak pelakunya,negatif
"korban seorang aktivis, udah diincar pastinya",35,2026-03-13 23:31:46 UTC,korban aktivis udah diincar pastinya,netral
ya karna dia iri dengki makanya dia jahat..klo dia ga iri dengki ya dia gak jahatt gimana sih..mana ada iri dengki gak jahat,11,2026-03-13 21:38:12 UTC,ya karna iri dengki jahatklo ga iri dengki ya gak jahatt gimana sihmana iri dengki gak jahat,negatif
"kayaknya itu serangan dari musuh, soalna yang di siram air keras nya itu kayak masuk ke dunia politik gitu,dia jadi sumber suara masyarakat.jadi dia menyuarakan penderitaan masyarakat ke pemerintah.jadi kayak ya ada yang ga suka dan merasa tersaingi.",7,2026-03-14 22:17:43 UTC,kayaknya serangan musuh soalna siram air keras nya kayak masuk dunia politik gitudia sumber suara masyarakatjadi menyuarakan penderitaan masyarakat pemerintahjadi kayak ya ga suka tersaingi,negatif
"Itu suruhan pemerintah, karna andrie yunus sangat vocal bersuara untuk Indonesia",6,2026-03-14 21:08:11 UTC,suruhan pemerintah karna andrie yunus vocal bersuara indonesia,negatif
"gue aja ada dendam ga gue turutin, takut karma😁",4,2026-03-14 03:19:36 UTC,gue aja dendam ga gue turutin takut karma,netral
"mulai dinormalisasi lagi, pantesss",2,2026-03-13 22:07:42 UTC,dinormalisasi pantesss,netral
Kayaknya kalau udah iri dan dengki apapun akan dilakukan untuk melakukan kejahatan,1,2026-03-15 11:39:04 UTC,kayaknya udah iri dengki apapun kejahatan,negatif
lailahaila anta subahanaka ini kuntum minal dizolimin,1,2026-03-15 06:53:58 UTC,lailahaila anta subahanaka kuntum minal dizolimin,netral
tetep gaboleh ya penyakit hati apapun di ilangin,1,2026-03-15 05:32:28 UTC,tetep gaboleh ya penyakit hati apapun ilangin,netral
"say, penyakit iri hati dengki emng udh kodratnya manusia yg diciptain Tuhan. tergantung kitanya ngontrol mau jahat apa ngk",1,2026-03-15 05:33:21 UTC,say penyakit iri hati dengki emng udh kodratnya manusia yg diciptain tuhan tergantung kitanya ngontrol jahat ngk,negatif
benerr jangan jahat pls .. inget hukum karma🙂,1,2026-03-14 11:10:24 UTC,benerr jahat pls inget hukum karma,negatif
"menurutku yg menyiram itu bukan iri, mungkin belangnya takut terkuak.",1,2026-03-14 09:27:00 UTC,menurutku yg menyiram iri belangnya takut terkuak,netral
"ini bukan orang kak,tp ini pemerintah nya yg jahat,semua kebenaran dibungkam
makanya rakyat hrs bersatu buat reformasi semuanya biar kebenaran selalu berjaya",1,2026-03-14 09:04:25 UTC,orang kaktp pemerintah nya yg jahatsemua kebenaran dibungkam rakyat hrs bersatu reformasi biar kebenaran berjaya,positif
cctv yg lainya langsung ngak aktif,13786,2026-03-13 19:24:16 UTC,cctv yg lainya langsung ngak aktif,netral
"biasa kalau berhubungan dengan pemerintahan , tiba-tiba rusak😂",1855,2026-03-13 19:28:24 UTC,berhubungan pemerintahan tibatiba rusak,negatif
jadi keinget novel baswedan😢😢,606,2026-03-13 19:32:23 UTC,keinget novel baswedan,netral
bisa jadi pelakunya orang yg sama,295,2026-03-13 20:26:42 UTC,pelakunya orang yg,negatif
pokona siapapun yg mau ungkap mslh pemerintahn pasti akan diserang🥺🥺ya Allah,51,2026-03-13 22:11:46 UTC,pokona yg mslh pemerintahn diserangya allah,negatif
"betul , biar jejaknya hilang.. trik polisi itu mahh .",46,2026-03-13 23:07:05 UTC,biar jejaknya hilang trik polisi mahh,negatif
"cari dulu beritanya udh di temukan 16 cctv dari rumah warga di dekat kejadian, jgn malah berspekulkasi",38,2026-03-13 22:38:01 UTC,cari beritanya udh temukan cctv rumah warga kejadian jgn berspekulkasi,netral
ntr pas di periksa rusak cctv nya...,14,2026-03-14 03:57:33 UTC,ntr pas periksa rusak cctv nya,netral
novel Baswedan pelakunya masih polisi dan sampai sekarang pelakunya ga di penjara,2,2026-03-15 22:58:47 UTC,novel baswedan pelakunya polisi pelakunya ga penjara,negatif
Lah yg diposting itu bukan cctv??????,1,2026-03-15 12:29:36 UTC,yg diposting cctv,netral
"cermati dulu sebelum komen,dia bilang ""cctv lainya""",1,2026-03-16 03:59:20 UTC,cermati komendia bilang cctv lainya,netral
"bisa klo mau di cari, cctv bnyk sepanjang jln",1,2026-03-14 14:45:43 UTC,klo cari cctv bnyk jln,netral
"otomatis langsung rusak😁🤭, udah biasa itu",0,2026-03-14 06:05:09 UTC,otomatis langsung rusak udah,netral
semoga barang bukti gak ikutan rusak,31,2026-03-13 20:45:46 UTC,semoga barang bukti gak ikutan rusak,positif
cctv dr sisi kanan aktif kok udh di post jg sm orang nya,4,2026-03-14 02:20:49 UTC,cctv dr sisi kanan aktif udh post jg sm orang nya,netral
udah pasti siapa pelakunya,3,2026-03-13 21:19:58 UTC,udah pelakunya,negatif
itu masih mending masih ada bukti cctv,2,2026-03-13 20:24:47 UTC,mending bukti cctv,netral
"udaj pasti,",0,2026-03-14 11:49:36 UTC,udaj,netral
Memang kamu tau bang? Apa nebak nebak?,0,2026-03-14 04:22:30 UTC,tau bang nebak nebak,netral
ya allah kasiann,0,2026-03-13 23:26:04 UTC,ya allah kasiann,netral
Ya Allah lindungi andri yunus,6252,2026-03-13 19:49:47 UTC,ya allah lindungi andri yunus,positif
Ya allah dzalim sekali pelakunya smoga Allah menyelamatkan korban,162,2026-03-14 00:39:49 UTC,ya allah dzalim pelakunya smoga allah menyelamatkan korban,negatif
amiiin yaallah,11,2026-03-14 02:35:26 UTC,amiiin yaallah,netral
dia fikir GK ada krmanya coba kalau anaknya atau org tua nya di gituin gmna,7,2026-03-14 07:00:42 UTC,fikir gk krmanya coba anaknya org tua nya gituin gmna,netral
aamiin,2,2026-03-13 19:53:22 UTC,aamiin,positif
amiin 🤲🤲🤲 ya allah,0,2026-03-15 23:47:00 UTC,amiin ya allah,netral
amiiin ya allah semoga cpt sembuhhh,0,2026-03-15 10:18:42 UTC,amiiin ya allah semoga cpt sembuhhh,positif
amin ya Allah,0,2026-03-15 04:57:19 UTC,amin ya allah,positif
"aamiin "" YRA kshn bgt. ituh org yg siram air keras smg dot hukuman yg setimpal.",0,2026-03-15 04:55:19 UTC,aamiin yra kshn bgt ituh org yg siram air keras smg dot hukuman yg setimpal,positif
aamiin,0,2026-03-14 23:23:26 UTC,aamiin,positif
Aamiiin,0,2026-03-14 14:24:38 UTC,aamiiin,netral
Aamiin y Allah,3,2026-03-13 22:51:17 UTC,aamiin y allah,positif
aamiin ya allah,0,2026-03-14 06:46:16 UTC,aamiin ya allah,positif
aamiin,0,2026-03-14 05:36:42 UTC,aamiin,positif
aamiin,0,2026-03-14 03:26:07 UTC,aamiin,positif
Amin,0,2026-03-14 02:58:42 UTC,amin,positif
Aamiinn,0,2026-03-14 02:09:49 UTC,aamiinn,positif
beliyaw berobat di rscm tadi,0,2026-03-14 00:19:48 UTC,beliyaw berobat rscm,netral
aminnn,0,2026-03-13 22:03:15 UTC,aminnn,positif
Ya Allah sayangi Andri Yunus,1,2026-03-14 23:56:59 UTC,ya allah sayangi andri yunus,netral
Amin ya rabbal 'alamin🤲🤲,1,2026-03-14 22:27:53 UTC,amin ya rabbal alamin,positif
"makanya Saya Klau di tempat kerja tdk Mau adu argumen ke siapapun, kerja pulang tdr.",934,2026-03-13 19:43:19 UTC,klau kerja tdk adu argumen kerja pulang tdr,netral
jangan bandingin kerjaan mu dengan kerjaan nya aktivis🤣🤣,192,2026-03-13 21:26:41 UTC,bandingin kerjaan mu kerjaan nya aktivis,netral
Sebagian orang Klau sudah dendam bakalan gelap Mata. yg Saya pikir itu Anak istri di rumah.,146,2026-03-13 21:02:25 UTC,orang klau dendam gelap mata yg pikir anak istri rumah,netral
"lu kerja untuk perut mu, sedangkan aktivis kerja untuk kebaikan negara, jelas udah beda",113,2026-03-13 21:39:05 UTC,lu kerja perut mu aktivis kerja kebaikan negara udah beda,positif
"iya makanya km susah jadi orang besar, naik jabatan pun proses nya lama, semua orang punya gaya hidupnya masing-masing jdi gk ush bandingin hidup mu sama orang lain",29,2026-03-13 21:21:03 UTC,iya km susah orang jabatan proses nya orang gaya hidupnya masingmasing jdi gk ush bandingin hidup mu orang,netral
"jiwa sosial dan kepedulian anda diragukan,",22,2026-03-13 22:51:50 UTC,jiwa sosial kepedulian diragukan,netral
"dia aktivis, beda ma kita2, kerjaannya mmg beresiko, sering aktivis Indonesia diintimidasi, tujuannya apa pembungkaman.",6,2026-03-13 22:51:37 UTC,aktivis beda ma kerjaannya mmg beresiko aktivis indonesia diintimidasi tujuannya pembungkaman,netral
"Iyya bener kak, zaman skrg lebih baik diam, mending urus keluarga sendri biarin orang lain mau gimana, yg penting kita n kluarga aman, apa sih yg mau d cari d dunia, kan cuma ketenangan... KLO kita susah tenang ya sudah cukup😌",3,2026-03-14 07:49:32 UTC,iyya bener kak zaman skrg diam mending urus keluarga sendri biarin orang gimana yg n kluarga aman sih yg d cari d dunia ketenangan klo susah tenang ya,netral
"koq ngomkng gtu,beliau Aktivis loh mba.dh jelas bnyk yg ga senang sma beliau,ingt kasus novel baswedan ketua kpk disiram juga pke air keras.krn mereka tidak sejln dg org jahat",1,2026-03-15 15:24:21 UTC,koq ngomkng gtubeliau aktivis loh mbadh bnyk yg ga senang sma beliauingt novel baswedan ketua kpk disiram pke air keraskrn sejln dg org jahat,negatif
Termasuk golongan cari aman,1,2026-03-14 21:38:36 UTC,golongan cari aman,netral
"kalo semua warga negara kayak elu, abis nih negara dipimpin soeharto sampe sekarang",4,2026-03-14 04:37:21 UTC,kalo warga negara kayak elu abis nih negara dipimpin soeharto sampe,netral
"kok komen gtu,,dipertanyakan jga nih,,pasti kmu memahami persoalan,,",2,2026-03-14 09:44:55 UTC,komen gtudipertanyakan jga nihpasti kmu memahami,netral
"semua itu takdir, meskipun km berdiam diri dirumah sj klu sdh waktunya takdir sdh tertulis ya pasti terjadi dg berbagai mcm cara",2,2026-03-14 06:14:18 UTC,takdir km berdiam dirumah sj klu sdh takdir sdh tertulis ya dg mcm,netral
"dia aktivis bang, ngomong buat ngelakuin keadilan orang2 yang hilang dan kena kekerasan.",2,2026-03-14 04:48:56 UTC,aktivis bang ngomong ngelakuin keadilan orang hilang kena kekerasan,netral
"kalo semua orang kaya elu, hancur dunia bg",1,2026-03-14 14:04:18 UTC,kalo orang kaya elu hancur dunia bg,netral
diam melihat kemaksiatan sama halnya setan bisu,1,2026-03-14 10:41:26 UTC,diam kemaksiatan halnya setan bisu,netral
pertanyaan nya sama gak kerjaan mu sama kerjaan si korban?? mungkin KLO kamu pulang kerja yg penting ngopi udut bobok,1,2026-03-14 09:37:57 UTC,nya gak kerjaan mu kerjaan si korban klo pulang kerja yg ngopi udut bobok,netral
jika semua orsng sepwrti anda..maka dunia penuh dgn orang yg tak paduli,1,2026-03-14 07:56:06 UTC,orsng sepwrti andamaka dunia penuh dgn orang yg paduli,netral
apa hubungan nya jamet?,1,2026-03-14 05:13:43 UTC,hubungan nya jamet,netral
ini aktivis!!!!,1,2026-03-13 22:24:16 UTC,aktivis,netral
"tapi atasan saya mulutnya sampah banget semua kata"" kotor sering saya denger tapi saya ga ada sedikitpun punya niat jahat karna saya tau yg bakal rugi saya sendiri",1,2026-03-13 22:08:25 UTC,atasan mulutnya sampah banget kotor denger ga sedikitpun niat jahat karna tau yg rugi,negatif
problem nya apa si,19,2026-03-13 20:51:49 UTC,problem nya si,netral
@rid: korban adalah aktivis waktu pengesahan ruu tni. dia membela rakyat,45,2026-03-13 21:00:59 UTC,korban aktivis pengesahan ruu tni membela rakyat,netral
yang pasti ada unsur kebencian / dendam,9,2026-03-13 21:02:01 UTC,unsur kebencian dendam,negatif
"skrg org mudah sakit hati bng, psti itu sakit hati di kata katain",2,2026-03-13 21:00:27 UTC,skrg org mudah sakit hati bng psti sakit hati katain,negatif
PUNYA HP CARI INFORMASI DLU JGN DITELEN MENTAH MENTAH,4,2026-03-14 04:22:41 UTC,hp cari informasi dlu jgn ditelen mentah mentah,netral
entah lah manusia makin ke sini makin ke sana,1,2026-03-13 20:56:49 UTC,manusia,netral
[Sticker] the comments,1948,2026-03-14 22:08:02 UTC,sticker the comments,netral
this is indonesis,5,2026-03-15 00:04:26 UTC,this is indonesis,netral
[Sticker] @☆𝐴𝑁𝑇𝐻𝑂𝑁𝑌☆:the comments,3,2026-03-15 16:06:50 UTC,sticker the comments,netral
Fr,2,2026-03-14 23:43:51 UTC,fr,netral
[Sticker] imagine speak only english,0,2026-03-16 01:40:42 UTC,sticker imagine speak only english,netral
[Sticker] ,0,2026-03-15 19:45:18 UTC,sticker,netral
pls respect other language bro,0,2026-03-15 17:30:01 UTC,pls respect other language bro,netral
c9rnball,0,2026-03-15 12:17:43 UTC,crnball,netral
shut the hell up,2,2026-03-14 22:10:05 UTC,shut the hell up,netral
"""the comments"" ахх бургер момент 😭🙏🥀",2,2026-03-15 00:47:33 UTC,the comments,netral
"can see water , axit",0,2026-03-15 21:42:15 UTC,can see water axit,netral
same to mi😳😳,0,2026-03-15 18:46:31 UTC,same to mi,netral
[Sticker] SO WHAT?,0,2026-03-15 09:52:36 UTC,sticker so what,netral
jadi orang jangan jahat-jahat napa ya Allah,20560,2026-03-13 17:51:40 UTC,orang jahatjahat napa ya allah,negatif
kalau baik semua ga ada neraka,85,2026-03-13 19:17:09 UTC,ga neraka,netral
"betulll kak...
dan setiap perbuatan gak baik / jahat sekecil apapun itu,pasti ada balasannya, insyaallah.",43,2026-03-13 20:12:26 UTC,betulll kak perbuatan gak jahat apapun itupasti balasannya insyaallah,negatif
Sebarkan,5,2026-03-16 08:49:11 UTC,sebarkan,netral
@keikoo @tea gndeng,0,2026-03-13 23:20:19 UTC,gndeng,netral
ya gapapa,45,2026-03-13 19:37:06 UTC,ya gapapa,netral
"realll ya gppa gasi, berarti dia ngarep bgt masuk kah sampe mempermasalahkan klo gaada😭😭",0,2026-03-13 20:26:13 UTC,realll ya gppa gasi ngarep bgt masuk kah sampe mempermasalahkan klo gaada,netral
iya lagi knp yaa ampunnn🥺,1,2026-03-13 21:08:00 UTC,iya knp yaa ampunnn,positif
Itu sampingnya kali bukan sih..,121,2026-03-13 18:30:36 UTC,sampingnya kali sih,netral
AKHIRNYAAA NEMU KOMEN YANG BERGUNA BANGET!!! 👍,4,2026-03-14 19:33:40 UTC,akhirnyaaa nemu komen berguna banget,netral
Makasih kakak infonya 👍,1,2026-03-13 22:27:50 UTC,makasih kakak infonya,netral
ya kk... jalan belakang pintu kluar apart capitol atau alternatif ke RSCM,0,2026-03-14 02:21:47 UTC,ya kk jalan pintu kluar apart capitol alternatif rscm,netral
"air keras bukan air panas, mikids kir",26,2026-03-13 18:39:29 UTC,air keras air panas mikids kir,netral
kstanya si prtolongannya prtama pake air mengalir klo terkena air kerss,23,2026-03-13 18:40:06 UTC,kstanya si prtolongannya prtama pake air mengalir klo terkena air kerss,netral
air kotor malah memperparah ka,9,2026-03-13 18:39:02 UTC,air kotor memperparah ka,netral
"tapi ada video bapak"" nyemplung ke got airnya kotor selamat dia cuma bajunya yg robek gara"" di siram air keras",10,2026-03-13 19:47:51 UTC,video nyemplung got airnya kotor selamat bajunya yg robek gara siram air keras,positif
Kayanya kak kali… pasti kepikiran buat nyebur😭,11,2026-03-13 18:47:47 UTC,kayanya kak kali kepikiran nyebur,netral
iya kayaknya,2,2026-03-13 18:34:06 UTC,iya kayaknya,netral
Kalo nyebur ke situ bisa ngeringanin lukanya kali ya,2,2026-03-13 18:35:51 UTC,kalo nyebur situ ngeringanin lukanya kali ya,netral
masalahya kena mata terus mana ad liat kali,1,2026-03-13 22:58:51 UTC,masalahya kena mata ad liat kali,netral
tau kan kak kali di sana sekotor apa,1,2026-03-13 20:20:32 UTC,tau kak kali sekotor,netral
"Kek nya bagi deh itu,atau ngga tambah soalnya gada kali nya",1,2026-03-13 18:59:59 UTC,kek nya deh ituatau ngga gada kali nya,netral
RESIKO NYA LBH GEDE KALAU NYEBUR KARENA KITA GAK TAU KONDOSI KALI KAYA GMN...TUJUAN MAU SELAMATKAN DIRI MALAH APES,0,2026-03-14 04:55:28 UTC,resiko nya lbh gede nyebur gak tau kondosi kali kaya gmntujuan selamatkan apes,positif
"Ga semua orang bisa berenang kak, terkadang berakhir pindah alam, terutama kalau asal masuj dari ketinggian tanpa tahu keadaan sungai dan warna sungai nya🙄",0,2026-03-14 00:25:16 UTC,ga orang berenang kak terkadang pindah alam masuj ketinggian sungai warna sungai nya,netral
"masalahnya air sungai di sebelahnya kotor, malah bisa memperparah luka korban",0,2026-03-13 23:04:08 UTC,air sungai sebelahnya kotor memperparah luka korban,netral
nah harusnya yang dicari pertama itu air buat ngebilas badan agar cairan air keras gak lama melekat dan memperparah luka bakar.. tapi yang namanya panik dan rasa terbakar gak kepikiran sampe situ,0,2026-03-13 22:52:04 UTC,dicari air ngebilas badan cairan air keras gak melekat memperparah luka bakar namanya panik terbakar gak kepikiran sampe situ,netral
"lu di posisi dia jg blm tentu bs mikir itu kali, kali..",0,2026-03-13 22:45:26 UTC,lu posisi jg blm bs mikir kali kali,netral
kira kira kasus ini bakal di proses gak ya,375,2026-03-13 21:25:08 UTC,proses gak ya,netral
kalo ga di proses sumpah parah bgt😭,71,2026-03-13 21:28:41 UTC,kalo ga proses sumpah parah bgt,netral
"dr dulu jg parah padahal kaya gini lebih menyakitkan dr pada kematian,polisi itu tugasnya dpt duit dr pekerjaannya dah itu aja😁",45,2026-03-13 21:31:11 UTC,dr jg parah kaya gini menyakitkan dr kematianpolisi tugasnya dpt duit dr pekerjaannya dah aja,negatif
kasus penyiraman novel baswedan gimana ya kabar nya. udah ketangkep blm yg nyiram,25,2026-03-13 21:35:51 UTC,penyiraman novel baswedan gimana ya kabar nya udah ketangkep blm yg nyiram,netral
pertanyaannya bukan gitu kak. apakah kasus ini bakal bisa beres?,16,2026-03-13 22:28:23 UTC,pertanyaannya gitu kak beres,netral
"selama aktor intelektualnya masih punya power buat nyetir hukum, ya nggak bakal pernah beres. air keras itu cuma alat, motif aslinya kan biar kita semua takut. kalo kasusnya dibikin beres, ntar nggak ada lagi dong 'teror' buat yang lain?",0,2026-03-16 01:21:11 UTC,aktor intelektualnya power nyetir hukum ya nggak beres air keras alat motif aslinya biar takut kalo kasusnya dibikin beres ntar nggak teror,negatif
"yg kemarin aja udh tenggelam kasus nya, yg rumah di bobol lalu dibunuh gara gara abis speak up di podcast",4,2026-03-13 23:04:54 UTC,yg kemarin aja udh tenggelam nya yg rumah bobol dibunuh gara gara abis speak up podcast,netral
oh iya betul 😁 yang sudah sudah kasus nya gak selesai.,1,2026-03-14 04:15:52 UTC,oh iya nya gak selesai,netral
gak .anaku beli sahur jam 3 mlm jd korban rombongan motor.kena mata.percuma lapor gk di urus klo gk da duit.bukti cctv ada.,5,2026-03-13 22:41:18 UTC,gak anaku beli sahur jam mlm jd korban rombongan motorkena matapercuma lapor gk urus klo gk da duitbukti cctv,netral
viral dulu klu ga si coklat mager,4,2026-03-13 22:18:26 UTC,viral klu ga si coklat mager,netral
"biasa klo dalangnya penguasa sangat tipis harapannya buat mengungkap kasusnya.
bisa bisa yg pertama meng upload ke medsos akan jd tersangkanya😂",1,2026-03-16 07:15:36 UTC,klo dalangnya penguasa tipis harapannya mengungkap kasusnya yg meng upload medsos jd tersangkanya,negatif
"Kya nya sulit yg udah""blm ada jawaban y",1,2026-03-13 22:22:52 UTC,kya nya sulit yg udahblm y,netral
yang penting kuat duitnya,0,2026-03-18 23:06:11 UTC,kuat duitnya,positif
"kemungkinan tidak, paling kalau rame, yg lain pelaku sebenar nya kagak, soal nya kebongkar dalang dan tujuannya, kali kali lah",0,2026-03-16 16:54:31 UTC,rame yg pelaku sebenar nya kagak nya kebongkar dalang tujuannya kali kali,positif
"diproses sih mungkin iya, tapi paling yang kena cuma eksekutor lapangannya doang. dalangnya mah bakal tetep aman di balik layar. itu kan emang polanya.",0,2026-03-16 01:16:55 UTC,diproses sih iya kena eksekutor lapangannya doang dalangnya mah tetep aman layar emang polanya,positif
Viralkan terus,0,2026-03-15 22:57:33 UTC,viralkan,netral
"kan yg bikin ulang mereka² sendiri yakali di urus 😂 , konyol banget pertanyaan mu",0,2026-03-15 21:30:47 UTC,yg bikin ulang yakali urus konyol banget mu,netral
ga lah,0,2026-03-15 20:11:53 UTC,ga,netral
gabakal lh,0,2026-03-15 19:40:17 UTC,gabakal lh,netral
enggak mungkin kayak enggak tau Indonesia,0,2026-03-15 16:36:45 UTC,kayak tau indonesia,netral
"ya allah , makin takut tinggal di indonesia 🥹",1218,2026-03-13 19:30:31 UTC,ya allah takut tinggal indonesia,netral
"yuuk, kita pindah ke Swiss aja,, disana aman",18,2026-03-13 19:41:09 UTC,yuuk pindah swiss aja disana aman,netral
pindah negara aja biar aman,5,2026-03-13 19:43:00 UTC,pindah negara aja biar aman,netral
pindah negara jadi aman,4,2026-03-13 19:40:27 UTC,pindah negara aman,netral
KLO mau aman tinggal di surga,3,2026-03-13 19:56:13 UTC,klo aman tinggal surga,netral
kenapa takut klo ga pernah punya masalah sama orang,1,2026-03-14 22:23:34 UTC,takut klo ga orang,netral
libeh takut Tigal di palestina karna siang MLM di serang msh aman di Indonesia bisa tidur yeyak dan bisa bernapas dengan lega,1,2026-03-14 05:18:01 UTC,libeh takut tigal palestina karna siang mlm serang msh aman indonesia tidur yeyak bernapas lega,netral
jangan tkut syng selagi ada gue kiwkiw🤤🤤🤤🤤🤤wel,1,2026-03-13 23:27:08 UTC,tkut syng selagi gue kiwkiwwel,netral
"iya udah KA pergi ke luar negeri
yg bikin ulah duluan siapa ? dan pelaku penyiraman mungkin dari pihak ke 3 yang ingin mengadu domba bangsa ini, ingat as tak menyerang lewat udara tapi mereka tau kelemahan kita",0,2026-03-17 15:48:11 UTC,iya udah ka pergi negeri yg bikin ulah duluan pelaku penyiraman mengadu domba bangsa as menyerang udara tau kelemahan,negatif
klo takut tinggal di Indonesia dikau mau tinggal dimana diluar negeri,0,2026-03-16 10:06:30 UTC,klo takut tinggal indonesia dikau tinggal dimana diluar negeri,netral
"kalo takut tinggal di Indonesia, tinggal saja di Sukabumi 😂",0,2026-03-16 07:52:54 UTC,kalo takut tinggal indonesia tinggal sukabumi,netral
PETANI BUAT RESAH,0,2026-03-15 20:29:11 UTC,petani resah,netral
ke Meksiko aja,0,2026-03-15 20:17:41 UTC,meksiko aja,netral
pindh agama aja,0,2026-03-15 13:01:26 UTC,pindh agama aja,netral
d iran aj kaj,0,2026-03-15 09:06:52 UTC,d iran aj kaj,netral
cobalah tingal d Iran atau d Israil 😁😁😁😁,0,2026-03-15 05:25:11 UTC,cobalah tingal d iran d israil,netral
yang bikin takut pemerintah melindungi penjaht,0,2026-03-14 21:31:29 UTC,bikin takut pemerintah melindungi penjaht,positif
pindah gidah...ke Israel ..,0,2026-03-14 09:32:18 UTC,pindah gidahke israel,netral
tinggal aj di kamboja,0,2026-03-13 22:40:45 UTC,tinggal aj kamboja,netral
pindah ke negara tasik aja kak aman,0,2026-03-13 22:31:46 UTC,pindah negara tasik aja kak aman,netral
ke timur tengah yuk,0,2026-03-13 22:29:28 UTC,timur yuk,netral
"itulah kalau orang sudah benci...
Berusahalah jadi orang baik pada siapapun",2355,2026-03-13 17:31:43 UTC,orang benci berusahalah orang,negatif
pantesan jadi sales,866,2026-03-13 17:37:11 UTC,pantesan sales,netral
percuma mau sebaik apapun kita tetep aja akan selalu ada yg benci,684,2026-03-13 17:34:47 UTC,apapun tetep aja yg benci,negatif
nah iyaa,1,2026-03-13 17:58:47 UTC,iyaa,netral
betul bahkan orang ga ada ngapa”in pun di benci di bilang sok iya ini itu 🤦🏻‍♀️,6,2026-03-13 18:02:26 UTC,orang ga ngapain benci bilang sok iya,negatif
"ya semua orng pasti menganggap dirinya sudah berprilaku baik kak. krna yg nilai orng lain. menurutku lebih ke jaga sopan santun, ucapan, lalu rendah hati. bener krna sebaik apapun pasti ad aj yg benci. tp klo rendah hati bisa lain cerita. contoh kecil tuh tetangga. misal kita beli mobil baru, ada aj tuh yg syirik. tp kko kita beli mobil baru dan klo ad yg tanya kita jawab ""bukan punya sy, ini mobil kantor kok, dititipin ke sy"" mungkin lain cerita",0,2026-03-13 18:17:37 UTC,ya orng menganggap berprilaku kak krna yg nilai orng menurutku jaga sopan santun ucapan rendah hati bener krna apapun ad aj yg benci tp klo rendah hati cerita contoh tuh tetangga beli mobil aj tuh yg syirik tp kko beli mobil klo ad yg sy mobil kantor dititipin sy cerita,negatif
itu tetangga aja yang suka panas dan iri,0,2026-03-15 08:57:09 UTC,tetangga aja suka panas iri,netral
nabi baik juga ttp ada ajah yg benci kak😁,2,2026-03-13 20:30:52 UTC,nabi ttp ajah yg benci kak,negatif
tul,2,2026-03-13 17:54:27 UTC,tul,netral
"nahh ini kita baik aja ada benci apalagi jahat jadi ga usah jahat"" buat meminimalisir kejahatan",17,2026-03-13 17:48:02 UTC,nahh aja benci jahat ga jahat meminimalisir kejahatan,negatif
Emg disini posisi yg jahat siapa?,5,2026-03-13 18:09:20 UTC,emg posisi yg jahat,negatif
betul benci bisa jdi iri hati,4,2026-03-13 17:51:23 UTC,benci jdi iri hati,negatif
kadang kita dibenci karena iri,1,2026-03-13 18:06:10 UTC,kadang dibenci iri,negatif
"bener banget ... banyak"" berdoa sama Allah dijauhkan dari segala marabahaya",1,2026-03-13 18:08:05 UTC,bener banget berdoa allah dijauhkan marabahaya,positif
"Setidaknya kita dibenci karena berada di pihak yang benar, bukan karena melakukan hal yang salah",5,2026-03-13 18:07:20 UTC,dibenci salah,negatif
"betul kita udh berusaha baik ,tapi org lain tetep ada yg GK suka",8,2026-03-13 17:56:23 UTC,udh berusaha org tetep yg gk suka,netral
fakta jir,0,2026-03-13 18:04:37 UTC,fakta jir,netral
betul itu bg,1,2026-03-13 17:47:02 UTC,bg,netral
tujuanya apasii?,100,2026-03-13 18:20:17 UTC,tujuanya apasii,netral
"Ya tujuannya supaya bungkam, ga kritik lagi",74,2026-03-13 18:29:47 UTC,ya tujuannya bungkam ga kritik,netral
"gak seneng karena Korban adalah salah satu aktivis yang Expos rapat pengesahan RUU TNI oleh DPR secara sembunyi - sembunyi di hotel mewah ditengah ""Efisienshit"" APBN.",49,2026-03-13 19:18:39 UTC,gak seneng korban salah aktivis expos rapat pengesahan ruu tni dpr sembunyi sembunyi hotel mewah ditengah efisienshit apbn,netral
Pembungkaman kritikus,19,2026-03-13 18:51:56 UTC,pembungkaman kritikus,netral
